item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12
makhani paneer pizza,,,,,,,,,,,
all about chicken pizza,just pepperoni pizza,,,,,,,,,,
pepperoni garlic bread,murgh amritsari garlic bread,,,,,,,,,,
mushroom pizza,bageecha pizza,cheesy garlic bread,chilli cheese garlic bread,,,,,,,,
chicken pepperoni pizza,murgh amritsari seekh pizza,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
bageecha pizza,peri peri grilled chicken pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
peri peri fries,all about chicken pizza,jamaican chicken melt,chilli cheese garlic bread,,,,,,,,
all about chicken pizza,jamaican chicken melt,,,,,,,,,,
makhani paneer pizza,cheesy garlic bread,,,,,,,,,,
tripple cheese pizza,bageecha pizza,,,,,,,,,,
mutton seekh pide,murgh amritsari seekh pide,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
all about chicken pizza,just pepperoni pizza,,,,,,,,,,
bageecha pizza,peri peri paneer pizza,,,,,,,,,,
desi pepperoni pizza,margherita pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari seekh melt,masala paneer pide,,,,,,,,,,
og cheese pide,chilli cheese garlic bread,,,,,,,,,,
jamaican chicken melt,mushroom mozzarella melt,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,,,,,,,,,,
mushroom mozzarella melt,herbed potato,all about chicken pizza,,,,,,,,,
masala paneer pide,,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
garlic aioli,cheesy garlic bread,,,,,,,,,,
tripple cheese pizza,bacon pepperoni melt,,,,,,,,,,
peri peri chicken melt,mutton seekh pide,,,,,,,,,,
mutton seekh pizza,just pepperoni pizza,,,,,,,,,,
grilled chicken tangdi,all about chicken pizza,,,,,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
mushroom mozzarella melt,bageecha pizza,,,,,,,,,,
peri peri fries,bageecha pizza,chilli cheese garlic bread,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
murgh amritsari garlic bread,chicken pepperoni pizza,,,,,,,,,,
margherita pizza,bellpepper onion pizza,chilli cheese garlic bread,,,,,,,,,
chilli cheese garlic bread,peri peri paneer pizza,,,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mushroom pizza,tripple cheese pizza,bageecha pizza,,,,,,,,,
fried chicken tenders,all about chicken pizza,,,,,,,,,,
margherita pizza,chilli cheese garlic bread,masala paneer pide,makhani paneer pizza,,,,,,,,
bageecha pizza,all about chicken pizza,,,,,,,,,,
mutton seekh pide,masala paneer pide,murgh amritsari seekh pide,,,,,,,,,
peri peri fries,chilli cheese garlic bread,,,,,,,,,,
indian masala cripser fries,mutton seekh pizza,chilli cheese garlic bread,,,,,,,,,
jamaican chicken melt,all about chicken pizza,loaded pork pepperoni pizza,,,,,,,,,
spinach sumac pide,jamaican chicken melt,bageecha pizza,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
herbed potato,bageecha pizza,makhani paneer pizza,masala potato pide,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
masala potato pide,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
mushroom mozzarella melt,loaded chicken pepperoni pizza,,,,,,,,,,
mushroom pizza,salted crisper fries,peri peri crisper fries,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
murgh amritsari seekh melt,mushroom mozzarella melt,,,,,,,,,,
margherita pizza,cheesy garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
fried chicken tenders,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri grilled chicken pizza,chilli cheese garlic bread,cheesy garlic bread,herbed potato,peri peri fries,,,,,,,
raw masala lemon shikanji,herbed potato,margherita pizza,chilli cheese garlic bread,,,,,,,,
bageecha pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
bageecha pizza,masala potato pide,peri peri chicken melt,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
murgh amritsari garlic bread,makhani paneer pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
og cheese pide,murgh amritsari seekh pide,,,,,,,,,,
makhani paneer pizza,murgh amritsari seekh pizza,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
fried chicken tenders,murgh amritsari seekh melt,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,all about chicken pizza,indian masala cripser fries,,,,,,,,
all about chicken pizza,,,,,,,,,,,
indian masala fries,bageecha pizza,harissa mayo,,,,,,,,,
just pepperoni pizza,chilli cheese garlic bread,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
herbed potato,bageecha pizza,,,,,,,,,,
pepperoni garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
garlic aioli,murgh amritsari seekh pide,pepperoni garlic bread,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
murgh amritsari garlic bread,grilled chicken tangdi,indian masala fries,,,,,,,,,
margherita pizza,bageecha pizza,,,,,,,,,,
jamaican chicken melt,cheesy garlic bread,peanut butter chocolate pide,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
herbed potato,masala paneer pide,,,,,,,,,,
murgh amritsari seekh pide,fried chicken tenders,jamaican chicken melt,herbed potato,,,,,,,,
bellpepper onion pizza,peri peri chicken melt,,,,,,,,,,
herbed potato,pepperoni garlic bread,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
indian masala cripser fries,just pepperoni pide,fried chicken tenders,jamaican chicken melt,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,,,,,,,,,,
masala potato pide,herbed potato,,,,,,,,,,
salted crisper fries,cheesy garlic bread,margherita pizza,,,,,,,,,
pepperoni garlic bread,peri peri chicken melt,,,,,,,,,,
makhani paneer pizza,just pepperoni pizza,,,,,,,,,,
pepperoni garlic bread,,,,,,,,,,,
peri peri chicken melt,herbed potato,,,,,,,,,,
mutton seekh pizza,pepperoni garlic bread,,,,,,,,,,
all about chicken pizza,peri peri chicken melt,,,,,,,,,,
mutton seekh pizza,peri peri chicken melt,,,,,,,,,,
bageecha pizza,peri peri fries,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
tripple cheese pizza,pepperoni garlic bread,,,,,,,,,,
mutton seekh pizza,peri peri chicken melt,grilled chicken tangdi,herbed potato,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
herbed potato,bageecha pizza,salted fries,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
herbed potato,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken angara tender,bone in angara grilled chicken,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
fried chicken peri peri tender,animal fries,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,grilled chicken jamaican tender,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,herbed potato,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in jamaican grilled chicken,angara rice,,,,,,,,,,
peri peri fries,grilled chicken peri peri tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,fried chicken beast aac burger,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken peri peri tender,grilled chicken angara tender,,,,,,,,,,
grilled chicken angara tangdi,grilled chicken peri peri tangdi,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,bone in angara grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
aac grilled chicken burger,fried chicken classic tender,,,,,,,,,,
fried chicken classic tenders + aac signature fries,,,,,,,,,,,
herbed potato,grilled chicken peri peri tangdi,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken angara boneless breast,,,,,,,,,,,
herbed potato,bone in angara grilled chicken,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
grilled chicken peri peri tangdi,herbed potato,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,smoky bbq sauce,,,,,,,,,,
bone in kabuli grilled chicken,fried chicken ghostbuster tender,grilled chicken peri peri tender,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken beast aac burger,,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
aac grilled paneer burger,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
aac signature fries,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken classic tender,fried chicken peri peri tenders + peri peri fries,,,,,,,,,,
grilled chicken peri peri tender,bone in kabuli grilled chicken,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
onion rings,angara rice,fried chicken angara tender,bone in jamaican grilled chicken,,,,,,,,
fried chicken classic tenders + aac signature fries,,,,,,,,,,,
fried chicken peri peri tender,jamaican sauce,,,,,,,,,,
ghostbuster sauce,fried chicken ghostbuster tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
fried chicken ghostbuster tender,grilled chicken peri peri tender,,,,,,,,,,
animal fries,grilled chicken peri peri tender,,,,,,,,,,
chicken smashed burger,,,,,,,,,,,
onion rings,,,,,,,,,,,
classic bacon melt tenderloin burger,tenderloin smashed burger,,,,,,,,,,
indian salsa,atomic veg burger,dirty indian masala fries,,,,,,,,,
dirty saucy fries,mutton smashed burger,,,,,,,,,,
grilled paneer burger,atomic veg burger,dirty saucy fries,,,,,,,,,
classic bacon melt tenderloin burger,,,,,,,,,,,
dirty saucy fries,,,,,,,,,,,
grilled chicken dirty burger,peri peri fries,,,,,,,,,,
dirty indian masala fries,grilled paneer burger,,,,,,,,,,
classic bacon melt tenderloin burger,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bellpepper onion pizza,angara paneer melt,,,,,,,,,,
indian masala fries,all about chicken pizza,,,,,,,,,,
bageecha pizza,murgh amritsari seekh pizza,spinach sumac pide,,,,,,,,,
makhani paneer pizza,peri peri paneer pizza,,,,,,,,,,
malai gud pide,bageecha pizza,chilli cheese garlic bread,,,,,,,,,
murgh amritsari garlic bread,cheesy garlic bread,,,,,,,,,,
murgh amritsari seekh pizza,indian masala fries,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
jamaican chicken melt,angara paneer melt,,,,,,,,,,
mushroom mozzarella melt,angara paneer melt,bacon pepperoni melt,jamaican chicken melt,,,,,,,,
salted fries,all about chicken pizza,pepperoni garlic bread,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
mushroom mozzarella melt,bageecha pizza,,,,,,,,,,
all about chicken pizza,salted fries,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
all about chicken pizza,jamaican chicken melt,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
makhani paneer pizza,malai gud pide,,,,,,,,,,
bageecha pizza,herbed potato,,,,,,,,,,
bellpepper onion pizza,salted fries,chilli cheese garlic bread,,,,,,,,,
tripple cheese pizza,masala potato pide,,,,,,,,,,
jamaican chicken melt,murgh amritsari garlic bread,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
chilli cheese garlic bread,peri peri paneer pizza,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
all about chicken pizza,salted fries,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
pepperoni garlic bread,peri peri chicken melt,,,,,,,,,,
bageecha pizza,mushroom mozzarella melt,cheesy garlic bread,salted crisper fries,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
salted crisper fries,cheesy garlic bread,,,,,,,,,,
og cheese pide,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
peri peri paneer pizza,cheesy garlic bread,,,,,,,,,,
mutton seekh pizza,herbed potato,masala potato pide,peri peri chicken melt,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
bageecha pizza,indian masala fries,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
bageecha pizza,spinach sumac pide,mushroom mozzarella melt,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
murgh amritsari seekh pizza,pepperoni garlic bread,all about chicken pizza,chilli cheese garlic bread,,,,,,,,
peri peri grilled chicken pizza,all about chicken pizza,,,,,,,,,,
mushroom pizza,murgh amritsari seekh pizza,,,,,,,,,,
peri peri paneer melt,angara paneer melt,,,,,,,,,,
peri peri paneer melt,bageecha pizza,,,,,,,,,,
murgh amritsari seekh pizza,peri peri grilled chicken pizza,,,,,,,,,,
murgh amritsari seekh pizza,just pepperoni pizza,,,,,,,,,,
onion rings,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
masala paneer pide,chilli cheese garlic bread,,,,,,,,,,
fried chicken tenders,murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,chicken pepperoni pizza,,,,,,,,,,
masala paneer pide,margherita pizza,,,,,,,,,,
murgh amritsari seekh pizza,all about chicken pizza,,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
chilli cheese garlic bread,cheesy garlic bread,,,,,,,,,,
angara paneer melt,loaded pork pepperoni pizza,jamaican chicken melt,,,,,,,,,
bellpepper onion pizza,peri peri paneer pizza,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
all about chicken pizza,just pepperoni pizza,,,,,,,,,,
indian salsa,murgh amritsari seekh pizza,cheesy garlic bread,,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,,,,,,,,,,
chilli cheese garlic bread,murgh amritsari seekh melt,bageecha pizza,,,,,,,,,
bageecha pizza,malai gud pide,cheesy garlic bread,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
murgh amritsari garlic bread,murgh amritsari seekh pizza,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
tipsy tiger fresh lime soda,all about chicken pizza,bageecha pizza,,,,,,,,,
garlic aioli,cheesy garlic bread,,,,,,,,,,
chilli cheese garlic bread,all about chicken pizza,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
margherita pizza,herbed potato,,,,,,,,,,
garlic aioli,bellpepper onion pizza,chilli cheese garlic bread,,,,,,,,,
makhani paneer pizza,herbed potato,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mutton seekh pizza,mutton seekh pizza,peri peri chicken melt,herbed potato,pepperoni garlic bread,,,,,,,
all about chicken pizza,mutton seekh pizza,fried chicken tenders,bageecha pizza,indian masala fries,,,,,,,
peri peri chicken melt,,,,,,,,,,,
mutton seekh pizza,pepperoni garlic bread,,,,,,,,,,
mutton seekh pide,all about chicken pizza,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
herbed potato,peri peri paneer pizza,,,,,,,,,,
mushroom mozzarella melt,cheesy garlic bread,peri peri fries,,,,,,,,,
tipsy tiger fresh lime soda,chilli cheese garlic bread,mushroom mozzarella melt,jamaican chicken melt,peri peri fries,peri peri crisper fries,,,,,,
mutton seekh pizza,,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
masala potato pide,pepperoni garlic bread,peri peri chicken melt,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
cheesy garlic bread,onion rings,bageecha pizza,,,,,,,,,
tipsy tiger fresh lime soda,masala paneer pide,onion rings,,,,,,,,,
peri peri paneer melt,chilli cheese garlic bread,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
herbed potato,pepperoni garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
herbed potato,pepperoni garlic bread,,,,,,,,,,
bageecha pizza,masala potato pide,,,,,,,,,,
indian masala fries,chilli cheese garlic bread,bageecha pizza,,,,,,,,,
masala potato pide,chilli cheese garlic bread,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
indian masala fries,chilli cheese garlic bread,,,,,,,,,,
malai gud pide,raw masala lemon shikanji,chilli cheese garlic bread,,,,,,,,,
angara paneer melt,masala potato pide,,,,,,,,,,
margherita pizza,,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
herbed potato,peri peri chicken melt,,,,,,,,,,
masala paneer pide,herbed potato,bageecha pizza,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,salted crisper fries,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,peri peri crisper fries,,,,,,,,,
herbed potato,bageecha pizza,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
chicken smashed burger,mutton smashed burger,,,,,,,,,,
dirty saucy fries,,,,,,,,,,,
tenderloin smashed burger,garlic aioli,mayonnaise,peri peri fries,dirty indian masala fries,,,,,,,
chicken 65 boneless grilled chicken breast,,,,,,,,,,,
peri peri boneless grilled chicken breast,,,,,,,,,,,
peri peri boneless grilled chicken breast,angara boneless grilled chicken breast,carribean jerk boneless grilled chicken breast,,,,,,,,,
smoky bbq boneless grilled chicken breast,,,,,,,,,,,
carribean jerk boneless grilled chicken breast,,,,,,,,,,,
smoky bbq boneless grilled chicken breast,,,,,,,,,,,
smoky bbq boneless grilled chicken breast,,,,,,,,,,,
smoky bbq boneless grilled chicken breast,,,,,,,,,,,
angara boneless grilled chicken breast,,,,,,,,,,,
onion rings,tripple cheese pizza,,,,,,,,,,
masala paneer pide,bageecha pizza,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
margherita pizza,bageecha pizza,,,,,,,,,,
just pepperoni pizza,malai gud pide,herbed potato,,,,,,,,,
angara paneer melt,tripple cheese pizza,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,cheesy garlic bread,,,,,,,,,
cheesy garlic bread,bellpepper onion pizza,chilli cheese garlic bread,margherita pizza,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
margherita pizza,jamaican chicken melt,mushroom mozzarella melt,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bacon pepperoni melt,,,,,,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
peri peri paneer pizza,jamaican chicken melt,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
angara paneer melt,peri peri chicken melt,,,,,,,,,,
fried chicken tenders,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pizza,bageecha pizza,onion rings,malai gud pide,,,,,,,,
all about chicken pizza,,,,,,,,,,,
bacon pepperoni melt,,,,,,,,,,,
peri peri crisper fries,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
loaded chicken pepperoni pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
mushroom mozzarella melt,jamaican chicken melt,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
murgh amritsari seekh pizza,mushroom pizza,,,,,,,,,,
cheesy garlic bread,og cheese pide,,,,,,,,,,
salted crisper fries,murgh amritsari garlic bread,pepperoni garlic bread,,,,,,,,,
angara paneer melt,cheesy garlic bread,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
bellpepper onion pizza,cheesy garlic bread,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
murgh amritsari seekh pizza,all about chicken pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
tripple cheese pizza,bageecha pizza,,,,,,,,,,
mushroom mozzarella melt,peri peri paneer melt,,,,,,,,,,
pepperoni garlic bread,murgh amritsari garlic bread,,,,,,,,,,
spinach sumac pide,just pepperoni pide,,,,,,,,,,
masala paneer pide,murgh amritsari garlic bread,,,,,,,,,,
tripple cheese pizza,all about chicken pizza,,,,,,,,,,
tripple cheese pizza,peri peri paneer pizza,,,,,,,,,,
murgh amritsari garlic bread,malai gud pide,all about chicken pizza,peanut butter chocolate pide,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
fried chicken tenders,peri peri chicken melt,chilli cheese garlic bread,,,,,,,,,
chilli cheese garlic bread,garlic aioli,,,,,,,,,,
jamaican chicken melt,just pepperoni pide,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
cheesy garlic bread,onion rings,,,,,,,,,,
all about chicken pizza,murgh amritsari garlic bread,,,,,,,,,,
masala potato pide,bageecha pizza,herbed potato,margherita pizza,peri peri crisper fries,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
chilli cheese garlic bread,peri peri paneer pizza,,,,,,,,,,
mushroom mozzarella melt,peri peri paneer pizza,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
bageecha pizza,makhani paneer pizza,herbed potato,tripple cheese pizza,,,,,,,,
peri peri chicken melt,herbed potato,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
malai gud pide,,,,,,,,,,,
peri peri crisper fries,mushroom pizza,masala paneer pide,,,,,,,,,
bageecha pizza,tipsy tiger fresh lime soda,,,,,,,,,,
makhani paneer pizza,peri peri paneer pizza,bageecha pizza,chilli cheese garlic bread,,,,,,,,
all about chicken pizza,murgh amritsari seekh pide,,,,,,,,,,
tripple cheese pizza,cheesy garlic bread,angara paneer melt,,,,,,,,,
bageecha pizza,herbed potato,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
tripple cheese pizza,peri peri chicken melt,,,,,,,,,,
bageecha pizza,cheesy garlic bread,,,,,,,,,,
margherita pizza,peri peri fries,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
all about chicken pizza,makhani paneer pizza,,,,,,,,,,
peri peri fries,murgh amritsari seekh pizza,all about chicken pizza,tripple cheese pizza,,,,,,,,
angara paneer melt,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
herbed potato,,,,,,,,,,,
chilli cheese garlic bread,murgh amritsari seekh melt,peri peri grilled chicken pizza,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,salted crisper fries,jamaican chicken melt,,,,,,,,,
peri peri crisper fries,masala potato pide,masala paneer pide,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
peri peri chicken melt,bageecha pizza,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
chilli cheese garlic bread,peri peri fries,herbed potato,mushroom pizza,,,,,,,,
all about chicken pizza,,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
just pepperoni pizza,murgh amritsari seekh pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
mutton seekh pizza,,,,,,,,,,,
bone in kabuli grilled chicken,animal fries,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
coleslaw,salted crisper fries,salted fries,jamaican sauce,smoky bbq sauce,bone in smoky bbq grilled chicken,,,,,,
animal fries,,,,,,,,,,,
animal fries,grilled chicken peri peri tender,,,,,,,,,,
tipsy tiger fresh lime soda,peri peri crisper fries,kabuli grilled paneer (8 pcs),peri peri fries,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken jamaican tangdi,grilled chicken ghostbuster tangdi,peri peri crisper fries,,,,,,,,,
bone in jamaican grilled chicken,animal fries,,,,,,,,,,
bone in angara grilled chicken,fried chicken angara tender,,,,,,,,,,
peri peri crisper fries,grilled chicken angara tangdi,grilled chicken jamaican tender,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken peri peri tender,bone in kabuli grilled chicken,,,,,,,,,,
animal fries,grilled chicken peri peri tender,iced green tea - peach,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in kabuli grilled chicken,grilled chicken peri peri tender,bone in jamaican grilled chicken,,,,,,,,,
fried chicken ghostbuster tender,,,,,,,,,,,
herbed potato,bone in kabuli grilled chicken,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
fried chicken ghostbuster tender,ghostbuster sauce,,,,,,,,,,
bone in smoky bbq grilled chicken,peri peri crisper fries,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
fried chicken classic tender,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken jamaican tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken jamaican tangdi,,,,,,,,,,,
grilled chicken jamaican tangdi,,,,,,,,,,,
fried chicken peri peri tender,grilled chicken peri peri tender,,,,,,,,,,
